codigo;descripcion;uni_med;cantidad;valor;codigo_cliente;cuidad
1 0450169;SH. SEDAL 190ML. RIZOS;UNI;3;6,9;10042;JUNIN
1 0866240;PROTECTORES DIARIOS INTIMA X 15;UNI;13;9,72;10042;JUNIN
2 9000517;ALKA SELTZER BOOST TBA X 10;UNI;3;7,17;10042;JUNIN
2 9000520;FINALIN FORTE X 50;UNI;6;64,26;10042;JUNIN
2 9000522;MENTOL CHINO 10 GR.;UNI;36;18,86;10042;JUNIN
2 9000543;SERTAL COMPUESTO X 10 COMPRIMIDOS;UNI;2;6,08;10042;JUNIN
2 9000549;SAL ANDREWS X 1 SOBRES;UNI;60;9,84;10042;JUNIN
1 0000003;LECHE CREMA NO LACTEA FANS 1 KG.;UND;60;360;10081;PORTOVIEJO
1 0010150;SH. SAVITAL 550ML. BIOTINA;UNI;3;11,66;10081;PORTOVIEJO
1 0010151;SH. SAVITAL 550ML. KERATINA;UNI;29;113,75;10081;PORTOVIEJO
1 0010152;SH. SAVITAL 550ML. MULTIVITAMINA;UNI;3;11,66;10081;PORTOVIEJO
1 0010165;SH. SAVITAL COLAGENO Y SABILA 550ML.;UNI;3;11,66;10081;PORTOVIEJO
1 0011030;ACEITE ROJO PARA MUEBLE MOEBEL 240ML.;UNI;56;96,76;10081;PORTOVIEJO
1 0011043;JABON LIQUIDO HANDS CLEAN EXOTIC 250ML.;UNI;12;22,46;10081;PORTOVIEJO
1 0011045;JABON LIQUIDO HANDS CLEAN FRESH 500ML.;UNI;5;13,14;10081;PORTOVIEJO
1 0041004;PILA SONY ALKALINAS AA/2;UNI;24;32,4;10081;PORTOVIEJO
1 0041005;PILA SONY ALKALINA AAA X 2;UNI;24;32,4;10081;PORTOVIEJO
1 0080040;DESOD. NODOR CLASICO ROJO 10 GR.;UNI;12;6;10081;PORTOVIEJO
1 0080041;DESOD. NODOR SPORT AZUL 10 GR.;UNI;12;6;10081;PORTOVIEJO
1 0080112;JABON PALMOLIVE SUAVIDAD RADIANTE 130GR;UNI;10;23,7;10081;PORTOVIEJO
1 0080270;MENTICOL ROJO 150 CC.;UNI;13;22,8;10081;PORTOVIEJO
1 0080280;MENTICOL VERDE 150 C.;UNI;13;22,8;10081;PORTOVIEJO
1 0120120;HOJA DE AFEITAR GUILLETE 1X5;UNI;80;48;10081;PORTOVIEJO
1 0120217;DESOD. GILLETTE GEL COOL WAVE 45G.;UNI;7;18,69;10081;PORTOVIEJO
1 0160141;COTONETES MADERA CLEAN UP 3 x100;UNI;64;19,2;10081;PORTOVIEJO
1 0182003;CEPILLO DENTAL DR. COSMETICS;UNI;288;43,06;10081;PORTOVIEJO
1 0182005;CEPILLO DENTAL MORGEM COLOR CRISTAL ESTUCHE;UNI;12;6,72;10081;PORTOVIEJO
1 0222055;COLONIA PERSONI 250ML CON ATOMIZADOR;UNI;28;104,4;10081;PORTOVIEJO
1 0222056;COLONIA PERSONI 100ML CON ATOMIZADOR;UNI;20;39;10081;PORTOVIEJO
1 0230008;DESOD. SUTTON CLASICO 30GR. ROLLON;UNI;24;14,14;10081;PORTOVIEJO
1 0230009;DESOD. SUTTON CLASICO 75GR. ROLLON;UNI;13;14,2;10081;PORTOVIEJO
1 0230016;DESOD. SUTTON ROSADO 75GR. ROLLON;UNI;13;14,2;10081;PORTOVIEJO
1 0230020;DESOD. SUTTON AC SOFT WOMEN 75GR. ROLLON;UNI;12;13,11;10081;PORTOVIEJO
1 0230043;DESOD. SUTTON AC SOFT HOMBRE 30GR. ROLLON;UNI;24;14,14;10081;PORTOVIEJO
1 0230044;DESOD. SUTTON AC SOFT HOMBRE 75GR. ROLLON;UNI;24;26,22;10081;PORTOVIEJO
1 0230071;NAIPE TUN HUANG;UNI;360;97,92;10081;PORTOVIEJO
1 0230924;PEGAMENTO SUPER DURA  X 1;UNI;1152;129,86;10081;PORTOVIEJO
1 0250021;SH. MUSS DE 400ML. NEGRO PROFUNDO;UNI;12;35,62;10081;PORTOVIEJO
1 0278681;JABON LIQ. KLEINOD 750ML. ROSAS;UNI;12;46,08;10081;PORTOVIEJO
1 0320001;POLVO DR.ANDERSON 120GR.;UNI;13;29,88;10081;PORTOVIEJO
1 0450049;JABON REXONA X 3 MEN ACTIVE;UNI;16;29,76;10081;PORTOVIEJO
1 0450073;SH. HEAD SHOULDERS 180ML. OLD SPICE;UNI;26;84,48;10081;PORTOVIEJO
1 0450077;SH. SEDAL DE 340ML. CONTROL CASPA;UNI;7;23,29;10081;PORTOVIEJO
1 0450216;DESOD. REXONA ROLLON 50ML ANTI+INVI MEN;UNI;6;10,74;10081;PORTOVIEJO
1 0450224;DESOD. REXONA ROLLON BAMBOO 50ML.;UNI;6;10,74;10081;PORTOVIEJO
1 0450237;DESOD. REXONA ROLLON V8  50ML.;UNI;6;10,74;10081;PORTOVIEJO
1 0450258;DESOD. REXONA STICK SPORTFAN HOMBRE 50GR;UNI;12;40,36;10081;PORTOVIEJO
1 0450366;SH. HEAD AND SHOULDERS 375ML MANZANA FRESH;UNI;13;72,86;10081;PORTOVIEJO
1 0450368;SH. HEAD AND SHOULDERS 375ML ALIVIO INSTANTANEO;UNI;13;72,86;10081;PORTOVIEJO
1 0450437;DESOD. REXONA ROLLON 50ML. X2 V8;UNI;6;21,48;10081;PORTOVIEJO
1 0451161;DESOD. DOVE ROLLON. DERMO CLARANT 50GR;UNI;6;10,62;10081;PORTOVIEJO
1 0866220;TOALLA INTIMA ALAS X 10;UNI;30;22,32;10081;PORTOVIEJO
1 0866233;TOALLA INTIMA NOCTURNA CON ALAS X 10;UNI;42;67,21;10081;PORTOVIEJO
1 0866240;PROTECTORES DIARIOS INTIMA X 15;UNI;72;53,57;10081;PORTOVIEJO
1 2430500;DESOD. ARRID R-O BABY FRESH 75GR.;UNI;12;28,56;10081;PORTOVIEJO
1 2470640;JABON LIQUIDO MONSTERS UNIVERSITY 250ML;UNI;14;35,95;10081;PORTOVIEJO
1 3220059;SH. PANTENE 200ML. CONTROL CAIDA;UNI;12;35,64;10081;PORTOVIEJO
1 3320126;ACEITE DE COCO CHERY 45CC.;UNI;24;10,8;10081;PORTOVIEJO
1 3620855;GEL FINAL TOUCH 15ML SACHET;UNI;48;3,6;10081;PORTOVIEJO
1 3621230;HOJA DE AFEITAR ASTRA X 5;UNI;160;80,08;10081;PORTOVIEJO
1 3850004;GEL ROLDA 120GR. AZUL;UNI;24;21,58;10081;PORTOVIEJO
1 3850024;GEL ROLDA 250GR.BL ANCO;UNI;24;51,6;10081;PORTOVIEJO
1 9000031;SH. SAIRO 2 EN 1 ARGAN 750ML;UNI;16;30,96;10081;PORTOVIEJO
1 9000032;SH. SAIRO BABY 750ML;UNI;16;30,96;10081;PORTOVIEJO
2 9000517;ALKA SELTZER BOOST TBA X 10;UNI;3;7,17;10081;PORTOVIEJO
2 9000549;SAL ANDREWS X 1 SOBRES;UNI;50;8,2;10081;PORTOVIEJO
2 9000558;KUFER Q FORTE CAP, X30;UNI;2;17,4;10081;PORTOVIEJO
1 0000003;LECHE CREMA NO LACTEA FANS 1 KG.;UNI;144;844,85;10099;JUNIN
1 0011030;ACEITE ROJO PARA MUEBLE MOEBEL 240ML.;UNI;84;145,15;10099;JUNIN
1 080040;DESOD. NODOR CLASICO ROJO 10 GR.;UNI;288;144;10099;JUNIN
1 0080270;MENTICOL ROJO 150 CC.;UNI;39;66,96;10099;JUNIN
1 0160050;ACEITE JOHNSON BABY  50 ML.;UNI;72;89,28;10099;JUNIN
1 0160051;ACEITE JOHNSON BABY 100 ML.;UNI;11;22;10099;JUNIN
1 0222056;COLONIA PERSONI 100ML CON ATOMIZADOR;UNI;30;55;10099;JUNIN
1 0230008;DESOD. SUTTON CLASICO 30GR. ROLLON;UNI;144;80,35;10099;JUNIN
1 0230009;DESOD. SUTTON CLASICO 75GR. ROLLON;UNI;144;149,04;10099;JUNIN
1 0230071;NAIPE TUN HUANG;UNI;720;195,84;10099;JUNIN
1 0230924;PEGAMENTO SUPER DURA  X 1;UNI;3456;388,92;10099;JUNIN
1 0270118;JABON LIQUIDO BAMBINI MONSTERS 280ML;UNI;18;36,6;10099;JUNIN
1 3621230;HOJA DE AFEITAR ASTRA X 5;UNI;100;50,05;10099;JUNIN
1 4040156;PAPEL DE ALUMINIO FOIL 5MX300MM.;UNI;700;385;10099;JUNIN
2 9000492;KURADOR X 1 CAJITA;UNI;12;4,8;10099;JUNIN
2 9000515;TALCO FUNGIREX CHICO 45G.;UNI;20;32,6;10099;JUNIN
2 9000516;TALCO FUNGIREX GRANDE 90G.;UNI;13;39,91;10099;JUNIN
2 9000520;FINALIN FORTE X 50;UNI;6;62,87;10099;JUNIN
2 9000522;MENTOL CHINO 10 GR.;UNI;288;150,91;10099;JUNIN
2 9000524;VAPORAL LATA;UNI;12;4,08;10099;JUNIN
2 9000526;ALCOHOL CHERRY 500ML SPRAY;UNI;24;55,2;10099;JUNIN
2 9000527;ALCOHOL CHERY 1000ML;UNI;24;64,8;10099;JUNIN
2 9000528;ALCOHOL CHERRY 250ML SPRAY;UNI;24;41,28;10099;JUNIN
1 0000003;LECHE CREMA NO LACTEA FANS 1 KG.;UNI;36;216,6;10104;CALCETA
1 0011030;ACEITE ROJO PARA MUEBLE MOEBEL 240ML.;UNI;15;26,88;10104;CALCETA
1 0041003;PILA SONY CARBON X 1 AA.;UNI;40;8;10104;CALCETA
1 0041006;PILA SONY CARBON X 1 AAA;UNI;520;104;10104;CALCETA
1 0080040;DESOD. NODOR CLASICO ROJO 10 GR.;UNI;192;96;10104;CALCETA
1 0080041;DESOD. NODOR SPORT AZUL 10 GR.;UNI;144;72;10104;CALCETA
1 0120120;HOJA DE AFEITAR GUILLETE 1X5;UNI;40;24;10104;CALCETA
1 0160141;COTONETES MADERA CLEAN UP 3 x100;UNI;160;48;10104;CALCETA
1 0182003;CEPILLO DENTAL DR. COSMETICS;UNI;12;2,21;10104;CALCETA
1 0200128;ALICATE DE MANO BELL NC-1 PROFESIONAL;UNI;10;10,8;10104;CALCETA
1 0200129;ALICATE DE PIE UNICO MS19-022;UNI;12;21;10104;CALCETA
1 0222056;COLONIA PERSONI 100ML CON ATOMIZADOR;UNI;13;26,4;10104;CALCETA
1 0230001;AFEITABIC;UNI;534;156,6;10104;CALCETA
1 0230009;DESOD. SUTTON CLASICO 75GR. ROLLON;UNI;85;88,72;10104;CALCETA
1 0230016;DESOD. SUTTON ROSADO 75GR. ROLLON;;25;27,31;10104;CALCETA
1 0230040;INVISIBLES MUSHEE X 130;UND;12;10,8;10104;CALCETA
1 0230051;BOLIGRAFO BIC P.F. NEGRO;UNI;24;7,2;10104;CALCETA
1 0230924;PEGAMENTO SUPER DURA  X 1;UNI;384;43,29;10104;CALCETA
1 0231080;LINTERNA ELEFANTE N 3632;UNI;12;12;10104;CALCETA
1 0250025;SH. MUSS DE 400ML. SECOS HIDRA INTENSE;UNI;6;22,27;10104;CALCETA
1 0250040;CREMA DE PEINAR MUSS 300G. NUTRICION PLUS;UNI;3;12,78;10104;CALCETA
1 0250330;CREMA ALISADORA LISSURA 70ML.;UNI;12;33,36;10104;CALCETA
1 0251334;TIJERA MUNDIAL 5 1/2;UNI;12;63,84;10104;CALCETA
1 0270219;OXIGENTA HIDROXON 20VOL. 60CC.;UNI;12;16,8;10104;CALCETA
1 0270220;OXIGENTA HIDROXON 30VOL. 60CC.;UNI;20;15;10104;CALCETA
1 0274041;SH. FAMILY 1000CC. SABILA;UNI;15;41,25;10104;CALCETA
1 0274050;SH. FAMILY 1000CC. CONTROL TOTAL;UNI;15;41,25;10104;CALCETA
1 0404004;CORTA UNA ZINGER GRANDE;UNI;12;10,8;10104;CALCETA
1 0450233;DESOD. REXONA ROLLON SPORTFAN 50ML.;UNI;13;23,27;10104;CALCETA
1 0450237;DESOD. REXONA ROLLON V8  50ML.;UNI;12;21,48;10104;CALCETA
1 2430500;DESOD. ARRID R-O BABY FRESH 75GR.;UNI;12;28,56;10104;CALCETA
1 3621230;HOJA DE AFEITAR ASTRA X 5;UNI;1760;880,87;10104;CALCETA
1 0310290;SILDENAFILO 50MG. X 4 TAB. PORTUGAL;UNI;37;55,5;10104;CALCETA
1 9000527;ALCOHOL CHERY 1000ML;UNI;15;53,55;10104;CALCETA
1 0000003;LECHE CREMA NO LACTEA FANS 1 KG.;;24;144,6;10108;CHARAPOTO
1 0041004;PILA SONY ALKALINAS AA/2;UND;12;16,2;10108;CHARAPOTO
1 0041006;PILA SONY CARBON X 1 AAA;;80;16;10108;CHARAPOTO
1 0041222;PILA TOCEBA RICH X4 AAA;UNI;12;4,32;10108;CHARAPOTO
1 0050101;QUITA ESMALTE GLAMOUR 30CC;UNI;12;2,88;10108;CHARAPOTO
1 0080040;DESOD. NODOR CLASICO ROJO 10 GR.;UND;12;6;10108;CHARAPOTO
1 0080041;DESOD. NODOR SPORT AZUL 10 GR.;UND;12;6;10108;CHARAPOTO
1 0080270;MENTICOL ROJO 150 CC.;UND;3;5,58;10108;CHARAPOTO
1 0080280;MENTICOL VERDE 150 C.;UND;3;5,58;10108;CHARAPOTO
1 0160141;COTONETES MADERA CLEAN UP 3 x100;UNI;15;4,8;10108;CHARAPOTO
1 0182004;CEPILLO DENTAL MORGEM DUAL ACTION;UNI;14;1,79;10108;CHARAPOTO
1 0182005;CEPILLO DENTAL MORGEM COLOR CRISTAL ESTUCHE;UNI;12;6,72;10108;CHARAPOTO
1 0274041;SH. FAMILY 1000CC. SABILA;UNI;8;22;10108;CHARAPOTO
1 0274044;SH. FAMILY 1000CC. MANZANILLA;UNI;8;22;10108;CHARAPOTO
1 0274050;SH. FAMILY 1000CC. CONTROL TOTAL;UNI;11;30,25;10108;CHARAPOTO
1 0450073;SH. HEAD SHOULDERS 180ML. OLD SPICE;UNI;26;84,48;10108;CHARAPOTO
2 9000522;MENTOL CHINO 10 GR.;UNI;156;81,75;10108;CHARAPOTO
2 9000538;BUPREX MIGRA X 20;UNI;1;9;10108;CHARAPOTO
2 9000541;BENZOPAREGORICA X20;UNI;1;3,1;10108;CHARAPOTO
2 9000549;SAL ANDREWS X 1 SOBRES;UNI;48;7,87;10108;CHARAPOTO
1 0010064;CREMA DE PEINAR SAVITAL 275CC. BIOTINA;UNI;4;12;10139;CHONE
1 0010150;SH. SAVITAL 550ML. BIOTINA;UNI;3;11,78;10139;CHONE
1 0010151;SH. SAVITAL 550ML. KERATINA;UNI;3;11,78;10139;CHONE
1 0010152;SH. SAVITAL 550ML. MULTIVITAMINA;UNI;6;23,56;10139;CHONE
1 0010160;SH. SAVITAL 550ML. ANTICASPA;UNI;8;32,72;10139;CHONE
1 0010164;CREMA DE PEINAR SAVITAL 275CC. KERATINA;UNI;4;12;10139;CHONE
1 0010165;SH. SAVITAL COLAGENO Y SABILA 550ML.;;6;23,56;10139;CHONE
1 0010167;CREMA DE PEINAR SAVITAL 275CC. COLAGENO;;16;48;10139;CHONE
1 0080035;JABON PROTEX TRIPACK AVENA 110GR;UNI;3;7,14;10139;CHONE
1 0080108;JABON PROTEX TRIPACK FRESH 110GR;UNI;21;49,98;10139;CHONE
1 0080270;MENTICOL ROJO 150 CC.;UND;13;22,8;10139;CHONE
1 0110223;ACEITE ONLY 120CC.;UND;13;11,05;10139;CHONE
1 0120120;HOJA DE AFEITAR GUILLETE 1X5;;220;132;10139;CHONE
1 0160050;ACEITE JOHNSON BABY  50 ML.;UND;26;32,24;10139;CHONE
1 0160140;COTONETES MADERA CARLITOS 3 x100;UND;104;41,28;10139;CHONE
1 0182003;CEPILLO DENTAL DR. COSMETICS;UNI;60;11,04;10139;CHONE
1 0222056;COLONIA PERSONI 100ML CON ATOMIZADOR;UNI;28;52,8;10139;CHONE
1 0230009;DESOD. SUTTON CLASICO 75GR. ROLLON;;176;188,12;10139;CHONE
1 0230016;DESOD. SUTTON ROSADO 75GR. ROLLON;UND;13;14,2;10139;CHONE
1 0230071;NAIPE TUN HUANG;;366;112,32;10139;CHONE
1 0230922;PEGAMENTO SUPER GOMA 3G.;UNI;576;43,2;10139;CHONE
1 0274041;SH. FAMILY 1000CC. SABILA;UND;3;8,25;10139;CHONE
1 0274043;SH. FAMILY 1000CC. HENA Y AZABACHE (NEGRO);UND;6;16,5;10139;CHONE
1 0274044;SH. FAMILY 1000CC. MANZANILLA;UND;3;8,25;10139;CHONE
1 0274045;SH. FAMILY 1000CC. HUEVO Y GERMEN DE TRIGO;UND;3;8,25;10139;CHONE
1 0274047;SH. FAMILY 1000CC. KERATINA;;18;49,5;10139;CHONE
1 0274050;SH. FAMILY 1000CC. CONTROL TOTAL;UND;3;8,25;10139;CHONE
1 0274052;SH. FAMILY 1000CC. AGUACATE;UND;3;8,25;10139;CHONE
1 0320001;POLVO DR.ANDERSON 120GR.;UND;13;29,88;10139;CHONE
1 0404004;CORTA UNA ZINGER GRANDE;UNI;26;23,4;10139;CHONE
1 0450099;JABON DOVE X 4 90GR. LECHE DE COCO;;48;157,96;10139;CHONE
1 0450159;JABON REXONA X 4 BAMBOO FRESH 125GR.;UNI;24;48;10139;CHONE
1 0450170;CREMA DE PEINAR SEDAL 300ML. CERAMIDA;UND;12;43,8;10139;CHONE
1 0450437;DESOD. REXONA ROLLON 50ML. X2 V8;UNI;12;42,96;10139;CHONE
1 0860012;PANALIN PLUS MEDIANO X 24;UNI;6;14,64;10139;CHONE
1 0860027;PANALIN PLUS GRANDE X 24;UNI;6;17,4;10139;CHONE
1 0866220;TOALLA INTIMA ALAS X 10;UNI;120;89,28;10139;CHONE
1 0866233;TOALLA INTIMA NOCTURNA CON ALAS X 10;UNI;13;20,4;10139;CHONE
1 3850001;GEL ROLDA 120GR.MORADO;UND;24;20,64;10139;CHONE
1 9000031;SH. SAIRO 2 EN 1 ARGAN 750ML.;UNI;32;61,92;10139;CHONE
2 9000521;MENTOL SIKURA 10GR.;UNI;84;34,44;10139;CHONE
1 0011030;ACEITE ROJO PARA MUEBLE MOEBEL 240ML.;FCO;28;48,38;10141;CHONE
1 0160140;COTONETES MADERA CARLITOS 3 x100;;78;30,96;10141;CHONE
1 0230005;BOLIGRAFO BIC ROJO NACIONAL;UND;12;3;10141;CHONE
1 0230044;DESOD. SUTTON AC SOFT HOMBRE 75GR. ROLLON;UNI;26;28,4;10141;CHONE
1 0230051;BOLIGRAFO BIC P.F. NEGRO;UNI;24;7,2;10141;CHONE
1 0230071;NAIPE TUN HUANG;UNI;48;13,06;10141;CHONE
1 0235030;BIGEN N 59 NEGRO ORIENTAL 60GR.;UND;3;9,3;10141;CHONE
1 0450437;DESOD. REXONA ROLLON 50ML. X2 V8;UNI;7;25,06;10141;CHONE
1 0680215;CEPILLO CERDA 2660 VANDUX;UND;2;8,68;10141;CHONE
1 2150023;TALCO REXONA EFFICIENT 200GR.;UNI;6;19,92;10141;CHONE
1 2431000;DESOD. ULTRA 24 FRESH 75GR.;UND;22;37,84;10141;CHONE
2 9000520;FINALIN FORTE X 50;UNI;4;41,92;10141;CHONE
2 9000522;MENTOL CHINO 10 GR.;UNI;48;25,15;10141;CHONE
2 9000526;ALCOHOL CHERRY 500ML SPRAY;;93;200,1;10141;CHONE
2 9000530;ALERCET 10MG. X 10 TAB.;UNI;1;2,78;10141;CHONE
2 9000538;BUPREX MIGRA X 20;UNI;1;9;10141;CHONE
1 0000003;LECHE CREMA NO LACTEA FANS 1 KG.;;18;109,5;10177;LEONIDAS PLAZA
1 0000100;PALETA DE MADERA DOBLE RASPA CAYO;UNI;3;3,36;10177;LEONIDAS PLAZA
1 0010150;SH. SAVITAL 550ML. BIOTINA;UNI;3;11,78;10177;LEONIDAS PLAZA
1 0010152;SH. SAVITAL 550ML. MULTIVITAMINA;UNI;3;11,78;10177;LEONIDAS PLAZA
1 0010155;GEL EGO ATTRACTION 90GR;;20;16,22;10177;LEONIDAS PLAZA
1 0010156;GEL EGO ATTRACTION 190ML.;;14;18,62;10177;LEONIDAS PLAZA
1 0010158;TRATAMIENTO NUTRIBELA GEL EN FRIO 27ML;UNI;12;5,04;10177;LEONIDAS PLAZA
1 0010174;TRATAMIENTO NUTRIBELA BIOKERATINA 27ML;UNI;12;5,04;10177;LEONIDAS PLAZA
1 0011030;ACEITE ROJO PARA MUEBLE MOEBEL 240ML.;FCO;13;23,04;10177;LEONIDAS PLAZA
1 0011043;JABON LIQUIDO HANDS CLEAN EXOTIC 250ML.;UNI;14;24,96;10177;LEONIDAS PLAZA
1 0041006;PILA SONY CARBON X 1 AAA;UND;40;8;10177;LEONIDAS PLAZA
1 0080033;JABON PROTEX TRIPACK 125GR. FRESH;;16;36,8;10177;LEONIDAS PLAZA
1 0080040;DESOD. NODOR CLASICO ROJO 10 GR.;UND;24;12;10177;LEONIDAS PLAZA
1 0080041;DESOD. NODOR SPORT AZUL 10 GR.;;24;12;10177;LEONIDAS PLAZA
1 0080108;JABON PROTEX TRIPACK FRESH 110GR;UNI;4;9,52;10177;LEONIDAS PLAZA
1 0080270;MENTICOL ROJO 150 CC.;;9;16,64;10177;LEONIDAS PLAZA
1 0080280;MENTICOL VERDE 150 C.;;12;21,89;10177;LEONIDAS PLAZA
1 0080502;CEPILLO COLGATE PREMIER X 1;;24;15,99;10177;LEONIDAS PLAZA
1 0110222;ACEITE ONLY 30CC;UND;7;2,24;10177;LEONIDAS PLAZA
1 0110223;ACEITE ONLY 120CC.;;14;11,9;10177;LEONIDAS PLAZA
1 0120111;AFEIT.PRESTOBARBA ULTRAGRIP;;56;42,24;10177;LEONIDAS PLAZA
1 0120120;HOJA DE AFEITAR GUILLETE 1X5;;40;24;10177;LEONIDAS PLAZA
1 0160140;COTONETES MADERA CARLITOS 3 x100;;78;30,96;10177;LEONIDAS PLAZA
1 0182003;CEPILLO DENTAL DR. COSMETICS;UNI;24;4,42;10177;LEONIDAS PLAZA
1 0182004;CEPILLO DENTAL MORGEM DUAL ACTION;UNI;12;1,79;10177;LEONIDAS PLAZA
1 0222056;COLONIA PERSONI 100ML CON ATOMIZADOR;;13;26,6;10177;LEONIDAS PLAZA
1 0230001;AFEITABIC;;50;14,4;10177;LEONIDAS PLAZA
1 0230008;DESOD. SUTTON CLASICO 30GR. ROLLON;;20;12;10177;LEONIDAS PLAZA
1 0230009;DESOD. SUTTON CLASICO 75GR. ROLLON;;40;44,5;10177;LEONIDAS PLAZA
1 0230062;INVISIBLE BEAUTIFUL GRANDE X 100;UNI;3;2,85;10177;LEONIDAS PLAZA
1 0230924;PEGAMENTO SUPER DURA  X 1;;144;18,04;10177;LEONIDAS PLAZA
1 0231182;FUNDA REGALO NAVIDENA EXTRA LARGA;UNI;12;8,64;10177;LEONIDAS PLAZA
1 0231195;FUNDA REGALO ESPECIAL GRANDE NAVIDENA;UND;12;5,76;10177;LEONIDAS PLAZA
1 0231198;FUNDA DE REGALO MANIGUETA PEQ. NAVIDENA;UND;12;3,84;10177;LEONIDAS PLAZA
1 0231222;PINZA DE CEJA MEREHE ORIGINAL;UND;12;4,32;10177;LEONIDAS PLAZA
1 0235030;BIGEN N 59 NEGRO ORIENTAL 60GR.;UND;12;37,2;10177;LEONIDAS PLAZA
1 0270760;FIJADOR SPRAYFLEX  75 CC.EXTRA FUERTE;UND;5;9,93;10177;LEONIDAS PLAZA
1 0270761;FIJADOR SPRAYFLEX 75CC. FUERTE;UND;5;9,93;10177;LEONIDAS PLAZA
1 0274044;SH. FAMILY 1000CC. MANZANILLA;UND;3;8,25;10177;LEONIDAS PLAZA
1 0274052;SH. FAMILY 1000CC. AGUACATE;UND;3;8,25;10177;LEONIDAS PLAZA
1 0370212;HOJA BOND P.MINISTRO X 10;UND;25;6;10177;LEONIDAS PLAZA
1 0370220;HOJAS BOND A4 X 50 DIBUJO;UNI;10;3;10177;LEONIDAS PLAZA
1 0370380;CUAD. JR. 100 H. 1 LINEA;UND;12;8,64;10177;LEONIDAS PLAZA
1 0370382;CUAD. JR. 100 H. 2 LINEAS;;24;17,28;10177;LEONIDAS PLAZA
1 0370391;CUAD. JR. 60H. 1 LINEA;;4;1,88;10177;LEONIDAS PLAZA
1 0370401;CUAD. 20 H. CUADRO GRAPADO;UND;25;4;10177;LEONIDAS PLAZA
1 0370402;CUAD. 20 H. 1 L.GRAPADO;UND;25;4;10177;LEONIDAS PLAZA
1 0370403;CUAD. 20 H. 2 L.GRAPADO;UND;25;4;10177;LEONIDAS PLAZA
1 0370424;CUAD. 60 H. DIBUJO GRAPADO;UND;14;5,32;10177;LEONIDAS PLAZA
1 0370435;CUAD. 50 H. CUADRO GRAPADO;UND;14;4,48;10177;LEONIDAS PLAZA
1 0450025;SH. H AND S.10ML.X 1 PROTECCION CAIDA;UND;12;2,4;10177;LEONIDAS PLAZA
1 0450071;SH. HEAD SHOULDERS 180ML. NUTRICION PROFUNDA;UNI;12;38,99;10177;LEONIDAS PLAZA
1 0450098;JABON DOVE X 3 90GR. BLANCO;UND;3;9,87;10177;LEONIDAS PLAZA
1 0450099;JABON DOVE X 4 90GR. LECHE DE COCO;UNI;3;9,87;10177;LEONIDAS PLAZA
1 0450215;DESOD. REXONA ROLLON 50ML ANTI+INVI WONEN;UNI;2;3,58;10177;LEONIDAS PLAZA
1 0450218;DESOD. REXONA 10GR. SACHET CLINICAL CLEAN;UND;60;12;10177;LEONIDAS PLAZA
1 0450235;DESOD. REXONA ROLLON TROP ENERG 50ML.;UND;2;3,58;10177;LEONIDAS PLAZA
