"cliente","ciudad","valor","tipo.cliente"
15601,11,55.1,12
15601,11,491.38,12
15601,11,68.1,12
15601,11,112.75,12
15601,11,468,12
15601,11,132.6,12
15601,11,75.24,12
15601,11,86.83,12
15601,11,110.4,12
15601,11,137.06,12
15601,11,79.33,12
15601,11,84.86,12
15601,11,39.46,12
15601,11,26.7,12
15601,11,196.78,12
15601,11,33.74,12
15601,11,70.72,12
15601,11,59.04,12
15601,11,48.52,12
15601,11,63.1,12
15601,11,31.08,12
15601,11,247.04,12
15601,11,33.05,12
15601,11,53.04,12
15601,11,150.14,12
15601,11,41.16,12
15601,11,168.8,12
15601,11,48.6,12
15601,11,19.54,12
15601,11,432.18,12
15601,11,135.12,12
15601,11,52.58,12
15601,11,59.91,12
15601,11,66.89,12
15601,11,46.54,12
15601,11,143.73,12
15601,11,57.11,12
15601,11,46.3,12
15601,11,337.68,12
15601,11,12.31,12
15601,11,40.04,12
15601,11,15.81,12
15601,11,64.86,12
15601,11,8.64,12
15601,11,13.2,12
15601,11,100.1,12
15601,11,65.31,12
15601,11,20.41,12
15601,11,30.4,12
15601,11,20.02,12
15601,11,110.2,12
15601,11,57.78,12
15601,11,59.58,12
15601,11,61.12,12
15601,11,20.02,12
15601,11,88.79,12
15601,11,20.02,12
15601,11,86.81,12
15601,11,154.18,12
13759,3,106.26,1
12125,3,69.02,1
13795,8,120.77,6
10880,8,35.28,4
10104,2,162.92,7
13278,6,131.14,6
14011,2,75.96,8
11405,15,414.59,1
15146,5,125.61,2
13772,1,203.9,1
10184,11,47.68,13
13471,16,49.71,6
11405,15,315.01,1
15146,5,141.75,2
15539,3,62.5,1
15014,8,90.27,2
10099,8,96.77,4
11575,15,68.43,11
11203,9,5.4,4
15616,3,66.52,1
13965,3,3.06,4
12032,19,225,4
14095,19,79.76,4
15617,19,32.85,4
10242,19,15.99,13
15326,19,10.2,2
10242,19,20.92,13
10271,18,103.34,4
15583,6,454.37,12
13887,4,167.63,4
13994,4,8.05,13
15540,5,115.37,9
10104,2,72.6,7
15544,2,19.96,4
11763,1,95.32,4
10618,16,60.71,2
14010,2,199.27,4
15618,2,27.47,4
15549,3,2.99,13
10108,5,98.27,13
15620,5,22.45,4
11226,18,186.62,4
14090,5,40.98,9
11973,18,92.79,13
10177,9,23.71,13
13954,8,106.16,13
15548,4,70.48,13
14056,4,72,6
10139,6,188.57,4
13375,6,25.94,13
13278,6,140.65,6
10764,19,40.85,13
10242,19,26.44,13
14095,19,106.66,4
11751,19,42.22,13
15622,19,36.09,4
11973,18,14.25,13
10618,16,42.35,2
10081,11,199.1,4
13795,8,85.75,6
11359,9,46.68,4
10099,8,337.96,4
12157,2,164.64,4
14007,2,10.8,11
15127,4,28.01,13
13994,4,5.98,13
10042,8,108.64,13
11216,6,171.24,4
13786,6,149.46,4
13066,6,128.13,13
15582,6,163.79,4
13278,6,19.55,6
13050,2,194.3,7
15332,4,170.81,4
15545,4,7.17,4
14029,2,4.8,13
15532,8,76.18,4
13795,8,160.16,6
15014,8,82.97,2
12125,3,274.86,1
15616,3,90.89,1
14053,9,116.44,4
11203,9,41.83,4
15262,15,109.56,4
10677,9,108.63,1
10177,9,102.17,13
13844,9,36.16,13
15146,5,41.25,2
14090,5,37.62,9
11573,5,19.09,13
13205,19,123.47,4
15103,19,206.26,4
13820,19,73.68,4
15627,19,72,13
15027,19,48.62,13
13926,19,30.42,13
13375,6,12.14,13
10139,6,87,4
12020,6,332.64,12
10099,8,259.06,4
10141,6,61.44,4
15572,6,201.18,4
13460,8,26.73,4
15618,2,130.07,4
14007,2,27.15,11
15539,3,173.17,1
15611,8,262.56,1
13050,2,5.6,7
15629,3,2,13
10099,8,36.6,4
15624,8,26.14,13
15014,8,89.49,2
13548,15,162.16,9
13448,14,202.12,13
13448,14,43.34,13
11405,15,223.13,1
12939,19,85.73,13
12872,19,22.32,13
10242,19,5.76,13
11991,19,129.53,4
15328,3,100.1,4
10880,8,47.34,4
12157,2,72,4
11683,6,233.88,13
15623,4,31.39,13
15545,4,27.2,4
13278,6,53.3,6
10104,2,82.5,7
15621,4,61,4
15605,6,52.8,6
10139,6,175.36,4
13394,3,116.2,13
15616,3,137.16,1
12125,3,173.81,1
10184,11,170.85,13
15642,11,36.84,13
10184,11,58.65,13
13855,11,72.77,6
13855,11,66.03,6
13855,11,119.65,6
13855,11,115.05,6
15634,11,24.5,1
12818,11,19.35,13
15230,11,74.52,13
15230,11,47.36,13
13855,11,71.3,6
15634,11,70.01,13
15230,11,84.26,13
15642,11,29.27,13
15642,11,72,13
15636,11,15.75,13
15642,11,6.29,13
15570,11,17.54,13
13095,11,19.07,13
15642,11,52.58,13
15642,11,28.38,13
15642,11,83.25,13
15642,11,23.12,13
15642,11,13.87,13
15642,11,9.5,13
15642,11,6.01,13
15642,11,10.01,13
15642,11,10.01,13
15646,11,18.6,13
15647,11,18.96,13
13541,11,125.84,4
15649,11,11.65,13
15667,11,2,13
16586,11,19.38,13
16609,11,27.96,13
15641,11,15.57,13
15636,11,52.41,13
15166,7,288,1
16617,11,287.72,6
15642,11,11.16,13
15539,3,288.5,1
15539,3,194.57,1
15539,3,121.8,1
15539,3,42.6,1
10462,11,72,6
16617,11,171.38,6
13095,11,15.57,13
15570,11,27.7,13
16617,11,393.75,6
16591,11,25.58,13
16591,11,17.99,13
15687,11,85.5,5
15687,11,40.79,5
15687,11,12.5,5
15687,11,90.9,5
15687,11,130.82,5
15659,11,33.53,13
15616,3,734.23,1
15616,3,58.96,1
12125,3,311.94,1
15539,3,277.16,1
15611,8,154.92,1
15611,8,191.65,1
13795,8,279.04,6
13795,8,24.4,6
15624,8,18,13
15532,8,183.46,1
10042,8,71.63,13
13460,8,44.28,4
15166,7,360,1
13795,8,48.55,6
12125,3,53.86,1
14028,8,56.51,13
14028,8,36.05,13
10104,2,237.21,7
15618,2,29.59,4
12157,2,803.96,4
14028,8,57.86,13
13994,4,19.07,13
15621,4,77,4
15621,4,61.28,4
15332,4,97.87,4
15332,4,156.47,4
15332,4,92.61,4
15548,4,46.53,2
13759,3,120.12,1
15616,3,59.76,1
15127,4,30.41,13
15332,4,33,4
13786,6,23.58,4
13278,6,446.75,6
13377,6,7.07,13
13675,6,17.08,13
13786,6,31.68,4
12020,6,483.84,12
10993,18,54.42,8
10993,18,41.58,8
11226,18,157.92,4
12975,18,72,6
13283,18,205.26,4
15625,1,86.4,1
13772,1,236.97,1
11763,1,206.79,4
13283,18,22.04,4
15659,11,27.59,4
15659,11,114.67,4
13844,9,67.61,13
10271,18,96.43,4
15319,18,962.4,4
10177,9,107.09,13
13873,9,46.89,13
11359,9,44.64,4
15636,11,58.79,13
14003,11,650.74,4
10081,11,123.14,4
15540,5,4.8,13
11203,9,76.16,4
11405,15,218.64,1
10081,11,388.07,4
10081,11,246.81,4
15157,9,39.11,4
10184,11,233.18,13
12104,19,151.68,4
11991,19,89.28,4
15627,19,76.8,13
12032,19,168.17,4
15617,19,99.13,13
14095,19,129,4
10764,19,45.17,13
13926,19,24.72,13
12068,19,377.15,13
10184,11,52.11,13
15660,6,53.02,13
15660,6,40.2,13
15014,8,20.64,2
12020,6,111.6,12
12157,2,671.49,4
15661,6,185.4,4
13278,6,51.83,6
15230,11,93.78,13
10099,8,80.35,4
13759,3,35.73,1
12125,3,90,4
15616,3,39.85,1
15615,3,364.8,6
10880,8,42.99,13
13460,8,121.77,4
13795,8,154.15,4
14010,2,72,4
10104,2,100.22,7
14029,2,65.01,13
15660,6,14.14,13
13887,4,145.85,4
13887,4,106.5,4
15127,4,19.44,13
13448,14,18.75,13
13786,6,193.15,4
13887,4,9.6,4
10139,6,169.41,4
15661,6,153.38,4
10141,6,8.68,4
12020,6,68.4,12
13066,6,20.86,13
11156,18,74.26,13
13995,18,22.8,4
11226,18,637.27,12
11973,18,220.99,4
12832,18,71.34,13
15230,11,58.17,13
15634,11,150.77,13
15634,11,185.78,13
15634,11,8.28,13
13772,1,177.65,1
10675,1,14.33,13
11838,1,188.31,1
15625,1,72,1
10177,9,67.23,13
10677,9,4.8,1
11308,9,148.85,4
13772,1,10.04,1
15152,9,172.8,4
13838,5,175.27,6
15627,19,237.91,13
15027,19,74.61,4
11991,19,124.54,4
15622,19,33.69,4
13169,19,161.52,4
10764,19,19.31,13
10242,19,10.01,13
12872,19,44.34,13
15319,18,1260.68,4
13887,4,30,4
12020,6,53.82,12
15539,3,645.83,1
15539,3,91.53,1
15616,3,42.96,1
12125,3,328.5,4
13278,6,126.83,6
15663,3,42.22,13
15663,3,36.5,13
13394,3,204.49,4
11405,15,96,1
14028,8,28.2,13
15014,8,107.28,2
15532,8,152.08,4
40382,8,60.06,4
14010,2,6.72,4
15618,2,209.88,4
12157,2,535.11,4
13448,14,115.23,13
13448,14,178.6,13
14028,8,15,13
15611,8,155.69,1
13795,8,214.16,6
13278,6,201.29,6
15661,6,373.94,4
13066,6,19.9,13
13375,6,12.77,13
11216,11,26.76,13
15583,6,183.6,12
14028,8,19.14,13
13050,2,384.7,7
12020,6,144,12
14011,2,60.3,8
15548,4,65.8,2
15621,4,74.34,4
13594,4,99.57,1
15664,4,14.4,13
15127,4,20.92,13
13994,4,7.2,13
13786,6,138.13,4
15319,18,53.82,4
13050,2,25,7
10993,18,144,8
12975,18,214.04,6
10677,9,60.06,1
10177,9,93.11,13
14053,9,127.04,1
13471,16,48.31,6
11224,16,34.01,2
10993,18,80.78,8
15642,11,11.52,13
12104,19,103.68,1
15665,19,120.06,4
15622,19,218.78,4
20926,19,38.63,13
10081,11,667.81,4
15636,11,6.25,13
15687,11,11.02,5
15687,11,109.66,5
15687,11,3.94,5
15687,11,15.39,5
15687,11,99.18,5
15687,11,35.51,5
15687,11,61.53,5
15687,11,50.19,5
15687,11,77.05,5
12818,11,23.32,13
12088,3,22.33,13
11253,3,24.5,13
15549,3,12,13
15671,3,18.17,2
15616,3,40.17,1
15615,3,24,6
14028,8,29.21,13
15014,8,73.36,2
13795,8,192.66,6
15532,8,11.4,4
40382,8,68.4,4
10104,2,192.12,7
14010,2,34.8,4
15618,2,151.18,4
12157,2,219.7,4
15030,2,10.01,13
14010,2,27.59,4
15548,4,12.12,2
15332,4,144.43,4
13887,4,64,4
15545,4,21.26,4
15661,6,243.71,4
15583,6,374.78,12
12020,6,196.8,12
15605,6,16.35,6
15672,18,22.01,13
10271,18,99.69,4
11405,15,70.07,1
13448,14,12,13
11838,1,164.4,1
15673,3,76.32,1
13995,18,80.96,4
15671,3,14,10
15146,5,172.2,2
13816,5,71.93,13
15674,5,45.19,9
16573,17,58.89,13
15152,9,125.82,4
30322,9,33.9,13
13772,1,199.25,1
10993,18,201.73,8
10462,11,72,6
14003,11,226.02,4
15260,15,58.95,2
15676,15,26.47,13
14045,15,74.47,4
15677,15,37.5,13
15678,14,46.67,13
15687,11,21.79,5
15687,11,56.4,5
10104,2,85.11,7
15616,3,74.54,1
15659,11,42.7,13
15658,11,3.26,13
12818,11,31.35,13
15648,11,19.6,13
15645,11,21.64,13
15647,11,10.3,13
10184,11,452.99,13
15549,3,29.6,13
15673,3,8.16,1
13795,8,13.11,6
15624,8,29.46,13
15532,8,13.8,4
15562,8,13.04,1
13460,8,146.61,4
10099,8,146.52,4
14010,2,6.9,4
15618,2,26.22,4
14011,2,72,8
12157,2,190.66,4
10184,11,13.11,13
13997,13,132.64,13
14056,4,52.68,6
13278,6,105.24,6
15605,6,25.69,6
11216,6,74.82,4
15583,6,74.52,12
12020,6,156.03,12
15539,3,291.96,1
15539,3,327.46,1
15539,3,223.93,1
15539,3,166.79,1
15539,3,162.43,1
15539,3,146.88,1
15539,3,144.4,1
15605,6,18.29,6
11763,1,141.19,4
30322,9,84.48,13
15539,3,257.56,1
15539,3,139.52,1
11405,15,170.16,1
13541,11,14.28,4
15539,3,188.69,1
15539,3,30.4,1
12832,18,72.48,13
11359,9,196.41,4
13838,5,173.57,6
100001,11,132.41,4
15027,19,26.18,4
13205,19,22.6,4
14095,19,13.11,4
12818,11,34.2,13
15625,1,94.56,1
15328,3,28.8,4
12125,3,423.65,1
14028,8,52.85,13
15014,8,148.71,2
10042,8,71.2,13
13795,8,33.62,6
15532,8,62.5,4
10099,8,83.4,4
13954,8,334.44,4
14007,2,73.19,11
10104,2,69.6,7
14010,2,43.76,4
13050,2,21.71,7
14007,2,41.52,11
15618,2,128.02,4
12157,2,355.12,4
15621,4,20.96,4
13887,4,4.8,4
13594,4,71.29,1
15572,6,15.07,4
13786,6,135.99,4
15659,11,38.45,13
15660,6,38,13
11575,15,54.45,9
15349,15,32.64,4
10108,5,70.25,4
15674,5,38.93,9
15020,9,114.13,4
14021,9,100.1,4
15681,9,70.23,4
30322,9,22.59,13
13844,9,86.45,13
11838,1,151.56,1
13471,16,12.28,6
11405,15,18,1
13448,14,17.82,13
15642,11,11.39,13
10242,19,29.01,13
15103,19,43.63,4
10764,19,43,13
12032,19,77.24,4
12939,19,164.24,4
11991,19,251.5,4
14095,19,54.6,4
13795,8,123.32,6
13095,11,15.07,13
10081,11,65.42,4
16584,11,17.86,13
14018,11,21.49,13
11253,3,10.5,13
11243,3,55.71,2
15549,3,42.85,13
15632,3,43.74,11
13545,8,54.05,13
13965,3,19.11,4
15328,3,395.84,4
15328,3,64.5,4
15682,13,70.3,13
15683,13,62.2,13
15684,13,106.87,13
15014,8,158.96,2
15030,2,49.42,13
14010,2,222.71,4
12157,2,277.63,4
14029,2,58.56,13
14056,4,38.85,6
15621,4,6.9,4
15127,4,65.08,13
15545,4,179.78,4
13873,9,191.51,4
30374,5,311.58,4
30374,5,105.08,4
10880,8,58.23,4
15672,18,20.02,13
10675,1,108.59,13
15248,5,45.25,13
15584,16,54.08,13
13390,16,18.51,13
15343,15,91.51,4
13451,18,53.58,6
16573,17,23.92,13
13448,14,19.02,13
11226,18,150.48,12
13887,4,105.86,4
13887,4,20.24,4
15632,3,47.07,11
13954,8,150.91,1
10042,8,18.86,13
15611,8,209.19,1
10104,2,61.29,7
15532,8,53.8,4
13795,8,100,6
13545,8,93.91,4
13678,8,50.41,4
14028,8,86.94,13
15585,2,135.53,4
12157,2,200.28,4
13375,6,14.2,13
15545,4,10.01,4
13050,2,30.44,7
15548,4,19.22,2
12020,6,390.48,12
16000,6,88.53,8
15661,6,75.46,4
13278,6,58.24,6
15605,6,30.9,6
10141,6,159.98,4
13786,6,62.38,4
13448,14,60.13,13
13759,3,45.85,1
11253,3,31.95,13
15549,3,71.62,13
15328,3,38.99,4
15616,3,83.87,1
15700,3,34.12,13
11243,3,14.51,2
15624,8,12.58,1
13795,8,52.63,6
10104,2,48,7
15585,2,48,4
15682,13,21.76,13
12157,2,355.72,4
15532,8,39.27,4
12712,8,557.01,4
13887,4,29.59,4
15332,4,198.56,4
15332,4,50.4,4
15701,6,29.58,4
15661,6,32.24,4
15702,6,275.94,4
15659,11,24.76,13
15681,9,24,13
15319,18,58.56,4
11838,1,147.96,1
15625,1,118.66,1
13451,18,22.32,6
10690,6,9.2,13
15703,6,99.44,4
14053,9,122.38,1
10271,18,89.19,4
10108,5,72,13
14053,9,51.09,1
12781,11,132.12,13
15349,15,22.87,13
13838,5,114.66,2
15659,11,72,13
13548,15,189.17,13
16574,15,26.01,13
15103,19,27.2,4
13205,19,72,4
13944,19,265.78,4
15622,19,36.79,4
15022,19,117.08,4
13169,19,306.15,4
13169,19,170.56,4
12781,11,309.49,13
13394,3,92.54,4
11243,3,54.32,2
15616,3,28.99,1
12125,3,700.26,1
15532,8,20.49,4
13678,8,22.01,4
13460,8,167.78,4
14028,8,122.82,13
10386,2,101.67,13
15585,2,78.42,4
10099,8,22,4
14028,8,32.73,13
13887,4,14,4
12125,3,129.86,1
15636,11,68.6,13
15230,11,101.43,13
15230,11,3.6,13
12157,2,114.81,4
13795,8,26.4,6
15701,6,44.61,13
15605,6,24.86,6
10139,6,247.72,4
15702,6,76.95,4
11763,1,45.6,4
10993,18,113,8
10177,9,79.85,13
13066,6,14.2,13
15572,6,30.16,4
15572,6,94.84,4
15584,16,52.48,13
11226,18,153.98,4
13471,16,120.17,6
15322,17,30.36,13
10108,5,42.24,13
16575,5,27.21,13
15686,5,33.2,13
13471,16,32.73,6
14018,11,30.03,13
13448,14,83,13
13926,19,24.76,13
12872,19,28.55,13
10764,19,34.34,13
12104,19,36.92,4
10242,19,15.3,4
30066,11,5.75,13
16614,11,72,13
15688,3,41.92,13
10880,8,40.8,4
13795,8,60.68,6
13954,8,150.91,1
15585,2,32.33,4
14007,2,21.24,11
15532,8,13.17,4
15618,2,26.86,4
12157,2,237.48,4
10104,2,23.27,7
12020,6,53.82,12
15661,6,20.96,4
13375,6,31.44,13
15701,6,54.26,13
15661,6,37.73,4
11054,1,12.97,13
11838,1,35.08,1
12975,18,72,6
11226,18,72,12
11359,9,256.78,4
16573,17,40.23,13
12832,18,74.76,13
15681,9,97.79,13
15605,6,33.59,6
15020,9,134.79,4
11226,18,150.91,12
13205,19,20.02,4
14095,19,33.6,4
15627,19,147.46,4
15635,11,12.94,13
16592,11,17.39,13
11575,15,111.87,11
15674,5,43.76,9
15349,15,13.27,9
16576,5,38.4,13
16592,11,17.79,13
15632,3,33.73,11
11253,3,17.94,13
11243,3,13.42,2
15616,3,132.99,1
15624,8,20.49,1
12712,8,699.96,4
15585,2,55.2,4
12157,2,147.87,4
10042,8,64.18,13
12712,8,311.22,4
14028,8,104.31,13
12020,6,120.12,12
15702,6,47.8,4
15701,6,24.73,13
13786,6,57.27,4
15545,4,120.77,4
13594,4,108.32,1
15127,4,36.97,13
13050,2,39.63,7
13887,4,20.58,4
14029,2,49.41,13
13545,8,190.34,13
11763,1,12.09,4
15681,9,144,13
10177,9,23.37,13
10271,18,85.93,4
13287,16,33.53,13
13995,18,72.27,4
10099,8,89.28,4
13278,6,93.76,6
15163,11,14.99,13
13548,15,157.36,13
15163,11,25.78,13
15353,15,32.02,13
12939,19,109.62,13
12939,19,63.71,13
12872,19,22.32,13
10242,19,14.2,4
14095,19,79.2,4
15027,19,35.45,4
15103,19,111.77,4
15653,11,17.37,13
15644,11,11.07,13
15616,3,180,1
15615,3,12,6
13965,3,36.92,4
10104,2,112.1,7
15532,8,38.86,4
15014,8,73.92,2
12157,2,190.06,4
10099,8,700.85,4
14007,2,129.43,11
15562,8,18.86,1
13795,8,249.88,6
15549,3,95.49,13
15166,7,124.7,1
15605,6,30.24,6
15583,6,125.82,12
11216,6,95.05,4
15701,6,24.83,13
13375,6,21.12,13
15545,4,120.98,4
14010,2,27.9,4
13887,4,94.88,4
15548,4,152.84,2
13287,16,13.83,13
10177,9,11.28,13
11973,18,255.36,13
10993,18,172.73,8
10675,1,85.51,13
13278,6,60.36,6
15680,11,60.93,13
13838,5,90.74,6
15680,11,42.96,13
13169,19,1063.28,4
15690,19,26.94,4
10081,11,108.8,4
15622,19,74.19,4
10081,11,177.13,4
15632,3,20.71,11
11253,3,20.18,13
11243,3,21.02,2
10042,8,72,13
13795,8,84.19,6
13678,8,93.8,4
15618,2,37.59,4
15585,2,281.64,4
12157,2,164.95,4
13050,2,6,7
15682,13,19.4,13
15532,8,141.57,4
15605,6,20.96,6
15702,6,125.3,4
13924,6,138.05,4
13786,6,75.89,4
15660,6,43.91,13
13375,6,22.45,13
13887,4,12.22,4
14056,4,9.6,6
15691,1,35.2,13
11838,1,9,1
16579,1,82.76,4
16580,9,60.14,13
12832,18,14.97,13
11763,1,54.6,4
11226,18,156.4,12
15661,6,117.14,4
13844,9,133.15,13
15625,1,117.9,1
15676,15,12,13
15349,15,10.01,9
11336,5,78.36,13
15674,5,81.46,9
15674,5,13,9
11405,15,287.1,1
13448,14,99.84,13
15692,7,35.08,13
15166,7,12.58,1
12872,19,13.09,13
13205,19,23.76,4
15690,19,22.45,4
10081,11,48.62,4
10081,11,176.98,4
15328,3,273.71,4
13394,3,358.11,4
13394,3,16.5,4
12125,3,343.94,1
12125,3,133.4,1
10042,8,32.96,13
13795,8,107.75,6
10880,8,114.17,4
13460,8,101.18,4
15618,2,47.57,4
12157,2,169.2,4
13394,3,19.68,1
10081,11,60.93,4
13050,2,291.58,7
13594,4,24,1
15545,4,44.42,4
12020,6,72,12
13594,4,14.76,1
10081,11,101.26,4
13786,6,22.32,4
10177,9,48.29,13
16573,17,65.73,13
15625,1,263.87,1
15660,6,30.34,13
10139,6,248.52,4
11683,6,233.48,13
11683,6,191.83,13
15605,6,32.73,6
16575,5,20.01,13
16581,5,13.85,13
13548,15,84.34,13
11991,19,74.52,4
15690,19,10.8,4
12104,19,97.92,4
15694,19,41.71,13
13944,19,79.22,4
15692,7,36.69,13
15570,11,105.03,4
15695,7,26.49,13
13205,19,7.2,4
15570,11,76.88,4
13944,19,97.92,4
13965,3,21.5,4
15615,3,12,6
11243,3,19.1,2
15682,13,32.81,13
14028,8,71.81,13
13678,8,45.22,4
15030,2,20.02,13
15618,2,36.33,4
13795,8,131.1,6
15702,6,174.14,4
13375,6,17.34,13
11216,6,34.3,4
15572,6,169.05,4
15572,6,20.17,4
13278,6,52.8,6
15332,4,18.36,4
14056,4,57.7,6
13887,4,80.81,4
15583,6,266.56,12
15661,6,59.04,4
15584,16,19.79,13
15696,5,18.92,13
16580,9,33.34,13
15020,9,96.72,4
10675,1,15.12,13
11973,18,22.03,13
16573,17,25.58,13
13471,16,28.8,6
13873,9,111.83,4
12832,18,37.11,13
10271,18,106.48,4
15690,19,97.92,4
15027,19,46.53,4
13205,19,14.54,13
13944,19,100.1,4
12032,19,23.08,4
12872,19,21.12,13
15570,11,130.92,4
15570,11,28.58,4
15349,15,7.34,9
13548,15,29.56,13
13471,16,27.35,6
10993,18,192.62,8
14053,9,165.36,1
14053,9,112.74,1
13471,16,87.3,6
13795,8,271.48,6
12712,8,322.68,4
10104,2,10.8,7
13460,8,46.28,4
